@relation images
@attribute faces_detected_up real
@attribute faces_detected_right real
@attribute faces_detected_down real
@attribute faces_detected_left real
@attribute reg0r-avg real
@attribute reg0r-var real
@attribute reg0g-avg real
@attribute reg0g-var real
@attribute reg0b-avg real
@attribute reg0b-var real
@attribute reg1r-avg real
@attribute reg1r-var real
@attribute reg1g-avg real
@attribute reg1g-var real
@attribute reg1b-avg real
@attribute reg1b-var real
@attribute reg2r-avg real
@attribute reg2r-var real
@attribute reg2g-avg real
@attribute reg2g-var real
@attribute reg2b-avg real
@attribute reg2b-var real
@attribute reg3r-avg real
@attribute reg3r-var real
@attribute reg3g-avg real
@attribute reg3g-var real
@attribute reg3b-avg real
@attribute reg3b-var real
@attribute class { "right", "down", "up", "left" }
@data
0,0,0,1,0.2992109819,0.0397525644,0.32341697,0.0418544106,0.3300406716,0.040779134,0.782571966,0.0392895638,0.7956140692,0.0400528885,0.7989848744,0.0398587393,0.0476969787,0.0004884734,0.0478154621,0.0004945127,0.0477562204,0.0004912652,0.5538340492,0.0551616382,0.5775936759,0.0541065376,0.5861670616,0.0514769402,"down"
6,0,1,0,0.4621429443,0.0172709746,0.5124034882,0.0161677753,0.4261512756,0.0183144333,0.444185257,0.0036866848,0.5409984589,0.002909213,0.3777065277,0.0045014159,0.3523773631,0.0197850915,0.421465022,0.0265986367,0.3172440311,0.0122622219,0.3673708442,0.0154321526,0.4408383923,0.0175527061,0.3224693408,0.0108376129,"up"
0,0,1,0,0.2735678933,0.0087328871,0.2311692671,0.0102834292,0.2068966952,0.0094500003,0.3665008545,0.0061218521,0.3501600786,0.0070700322,0.3480210738,0.0091225258,0.3111985338,0.0193324141,0.2849637145,0.0151958077,0.2661544727,0.0156314885,0.2973045024,0.0127378237,0.2697645142,0.0117006598,0.2590861967,0.0121099511,"down"
0,0,3,0,0.7478787252,0.0944056702,0.6046021316,0.0812605364,0.4926531457,0.0627692372,0.1880820571,0.0210604785,0.2502392901,0.0260634955,0.1589727339,0.029584305,0.2512905349,0.0504253167,0.3351406596,0.0610818202,0.1565185006,0.0381329951,0.119491408,0.0227925409,0.2094044484,0.0347623477,0.1252771619,0.0422417323,"down"
0,0,0,0,0.4090991211,0.0115072042,0.4860717773,0.0114425765,0.4269018555,0.0080538304,0.7610009766,0.0535036657,0.7208666992,0.0445549697,0.6320703125,0.0453487228,0.4665327629,0.0141042926,0.5016890129,0.0118190915,0.4444256052,0.009445703,0.5064104236,0.028514673,0.4972088898,0.0219878688,0.3937323925,0.0216900362,"up"
0,0,1,0,0.2360369647,0.0366325873,0.2525562428,0.023900191,0.3164369936,0.0685835794,0.6935311777,0.0027172076,0.627609592,0.0023052851,0.511167173,0.0028950722,0.3747683755,0.0342915536,0.3471712863,0.0277851338,0.2478719503,0.0270350729,0.2317873205,0.0371589215,0.2550595468,0.0260523595,0.2265419916,0.0343239764,"down"
0,0,0,0,0.1714796586,0.0257905297,0.1636949019,0.0252776474,0.1462652033,0.0253109452,0.2980166349,0.0913107096,0.3557004062,0.060230998,0.4776306152,0.0288020885,0.5544894105,0.0316269396,0.5474192832,0.0387035427,0.5386033768,0.048520945,0.0387773993,0.0039176092,0.0409674911,0.0040595696,0.0178299023,0.0009387463,"down"
0,0,0,0,0.279109375,0.0352606994,0.2996103516,0.0415153488,0.3085986328,0.053468975,0.257796875,0.0367481229,0.2578085938,0.0389541931,0.2407539063,0.0410223665,0.2641839351,0.0680226433,0.1982545655,0.0375725304,0.1726202885,0.0319501375,0.2917270368,0.0030044549,0.3362033022,0.0035773367,0.2944489034,0.0053915519,"left"
0,0,1,0,0.2883911133,0.1503093612,0.4712607644,0.1660027104,0.3879630349,0.1500506687,0.2168551358,0.0723829452,0.563889937,0.0840319474,0.4274042303,0.095375223,0.040460234,0.0003778889,0.1769568276,0.0098164194,0.1108727044,0.0056858357,0.0540006665,0.0002643731,0.1151251481,0.000813748,0.0802058649,0.0003966073,"down"
6,0,2,1,0.5882970637,0.0639211021,0.5920493386,0.0608817569,0.5544128418,0.0697629131,0.4798764316,0.0205449855,0.4444524592,0.0166801729,0.3999203769,0.0129051815,0.4790358412,0.0713225456,0.4659397216,0.0529402739,0.4351784656,0.0560757369,0.5864151363,0.0385213586,0.5686722453,0.0421323511,0.5508127222,0.0388772313,"up"
0,0,0,2,0.1939670139,0.0258344631,0.2923077619,0.0729805463,0.2833532263,0.0960240245,0.3621826172,0.0365194366,0.4195140697,0.0336894103,0.2835593895,0.0241902106,0.4393771232,0.0659219002,0.4931429509,0.0741058325,0.4539031134,0.0815207569,0.28116676,0.0234043507,0.3336321128,0.0275073799,0.2503824216,0.016466957,"up"
1,0,0,0,0.9482354058,0.0001123746,0.9542185465,6.71E-005,0.983601888,3.53E-005,0.2091742622,0.0091371838,0.194764879,0.0060747048,0.1868421766,0.0044648823,0.6252964767,0.1207042978,0.6282476644,0.1263699841,0.6446036718,0.1359562296,0.6720492649,0.1084442631,0.6747017128,0.1129208312,0.6994948581,0.1237259475,"up"
2,0,0,0,0.759229872,0.0515583267,0.7887437609,0.0548461984,0.8274146186,0.0660796881,0.3849436442,0.0116019065,0.3956417508,0.0064481417,0.1692335341,0.0104321139,0.540827781,0.0300402018,0.5908282336,0.0357746409,0.4141303954,0.1040401479,0.415728201,0.0087059627,0.2731976028,0.0210969599,0.2369074993,0.0224990538,"up"
0,0,0,0,0.3403112238,0.0111781937,0.3204331832,0.0107449527,0.3802670566,0.0159321224,0.0751009854,0.0122398157,0.0881000866,0.0157676063,0.0947570801,0.025904389,0.2489706754,0.0265890365,0.2277639959,0.0296673481,0.2280527992,0.0208159524,0.4232856931,0.0441770929,0.4410748667,0.0431668092,0.4876444017,0.0441095138,""right""
0,0,0,1,0.7184914982,0.079990077,0.6702402152,0.1024934372,0.6357541552,0.1169648403,0.2985492781,0.0245472841,0.1957900103,0.0097409053,0.1363417682,0.0065876016,0.4435478204,0.0690288766,0.3980254753,0.0648199272,0.3808322261,0.0631065049,0.4242257768,0.0927380425,0.398103728,0.1059134579,0.3682718597,0.0967499834,"up"
0,0,0,0,0.4912095503,0.0518258187,0.5052517978,0.0495263656,0.4425256903,0.0394174496,0.0710296631,0.0064377464,0.0848652233,0.0084195723,0.0847362172,0.0087690011,0.2312944313,0.0456981621,0.2282638477,0.0439253151,0.1958290136,0.031894587,0.3894142476,0.0817370034,0.414538285,0.0879586727,0.3855117002,0.0793725798,"down"
1,0,0,0,0.3913968404,0.0734801445,0.4027353923,0.0735496338,0.3873799642,0.0629960099,0.2671585083,0.0379732577,0.2991040548,0.0429065658,0.2589378357,0.0337031784,0.1494980588,0.0183428628,0.2854871443,0.0458257924,0.3353877063,0.0629176772,0.1610352411,0.0281331864,0.0505928948,0.0006632976,0.0568663119,0.0010714548,"down"
0,0,1,0,0.5632802734,0.0133092247,0.5768818359,0.014163795,0.5820166016,0.0157143438,0.2261542969,0.0468682797,0.2164414063,0.031029201,0.2352529297,0.0182896612,0.3090875688,0.0305717681,0.3055305099,0.0407208187,0.2774662275,0.0334451639,0.4088936895,0.0203518441,0.3634063334,0.0241629232,0.3362019992,0.0252391225,"up"
0,0,2,0,0.3844951555,0.0401114405,0.3861682368,0.0625931664,0.3496524586,0.051832272,0.37523696,0.0091912606,0.285357307,0.005682054,0.2097335516,0.002909445,0.3136977463,0.037766651,0.3352348222,0.0653150335,0.2577757691,0.0320852208,0.574878309,0.0226623539,0.5218852208,0.0294025371,0.469724167,0.0395387157,"down"
0,0,0,0,0.2168183796,0.0258446328,0.1713120851,0.0124180298,0.1721292604,0.0085898282,0.5861829056,0.0198781395,0.7302043697,0.0112791647,0.9275939625,0.0020560922,0.6289719721,0.0778883528,0.7042675528,0.0909897897,0.7757883278,0.1255578573,0.3867608795,0.0165144382,0.5053352837,0.0472671586,0.6704931514,0.1261189861,"down"
1,0,0,0,0.1553393555,0.015886517,0.178269043,0.0207391741,0.1409716797,0.0283780041,0.2334106445,0.0222791623,0.2404956055,0.0308138165,0.2530395508,0.0435152648,0.6339504643,0.1274428752,0.6569966872,0.1297373474,0.6118661311,0.1305089931,0.298061874,0.0317382227,0.3043614357,0.030586251,0.2802620253,0.0293136923,"up"
0,0,3,1,0.2043984153,0.0066413811,0.1627141779,0.0043123771,0.1647838246,0.0040748443,0.9811873002,0.0014198299,0.9766179865,0.0020331439,0.9810444225,0.001613822,0.6329402399,0.1282013138,0.5789562352,0.1249652697,0.609228747,0.1395421325,0.4516365521,0.1560394406,0.4256331457,0.1520895354,0.4311074496,0.1612605538,"down"
1,0,0,7,0.3666950573,0.0196931159,0.2635428689,0.010826376,0.2464544123,0.0081902092,0.4444274902,0.0511269757,0.3214541349,0.0442039234,0.3145432906,0.0449871069,0.3373907731,0.0314962881,0.2532934686,0.0222343776,0.2254276511,0.0178185117,0.3340658323,0.004564219,0.240478747,0.0032218553,0.2295560575,0.002847954,"left"
0,0,0,0,0.2660692003,0.0008671032,0.4366794162,0.0005406825,0.6669260661,0.0004067212,0.2574734158,0.0177283064,0.2524549696,0.0182703069,0.2526685927,0.0164329788,0.3862276398,0.0263286402,0.4511175587,0.0409643424,0.5328545952,0.0668882347,0.4213657843,0.0220434131,0.5056670046,0.0227819141,0.6085806236,0.0361838722,"up"
0,0,0,0,0.6757468034,0.0862794625,0.5846147487,0.0764028017,0.5527378197,0.0732410505,0.7249503968,0.0645063943,0.6798321759,0.0304296913,0.5743703153,0.0668983835,0.4043347472,0.0818457866,0.3252250693,0.0597336805,0.2822238573,0.0498173494,0.6701653393,0.1232448101,0.6070593837,0.1232908948,0.6294039993,0.1171192851,"left"
0,2,0,0,0.2335149592,0.0117308307,0.2625233043,0.0184057547,0.2276514227,0.0218566015,0.3918762207,0.029686912,0.4602758234,0.0536096432,0.4675265226,0.0638008538,0.2309223193,0.0156624495,0.2682649585,0.0261265779,0.2705624259,0.0427349359,0.3423633738,0.0349081256,0.3098618928,0.0169186171,0.3137163063,0.0234610783,"down"
1,0,4,0,0.3432159424,0.0301747897,0.258190155,0.0265716825,0.2210083008,0.0237903409,0.5136699677,0.0612938553,0.3575687408,0.0570529931,0.280708313,0.0610703872,0.524234538,0.0136338288,0.3854964553,0.0113524973,0.2450166028,0.0124378862,0.5286042414,0.090678301,0.4813549136,0.1024791917,0.4596871944,0.0844177867,"down"
0,0,5,0,0.4673118591,0.0643933148,0.2691879272,0.0117100193,0.2441520691,0.0269736348,0.2091407776,0.0158340388,0.1376228333,0.0111089371,0.1093864441,0.0085263698,0.2087854928,0.0129943831,0.1181411146,0.0085933944,0.1157290307,0.0092041019,0.547165674,0.0665043516,0.338604561,0.0556097984,0.2915612761,0.0441308194,"down"
1,0,0,0,0.0717163086,0.0003253564,0.0751814409,0.0003324149,0.0570720326,0.000261099,0.0260203968,0.0014365305,0.0281247226,0.0015482493,0.019284335,0.0011336194,0.2812944313,0.0624450953,0.266839455,0.0557968649,0.2163858857,0.0492879869,0.0833512293,0.0086246152,0.0883145735,0.0086496554,0.0839603081,0.0084735702,"up"
0,0,2,0,0.5523645738,0.0529096489,0.5795096603,0.0563079463,0.6117781097,0.0591580292,0.2515881108,0.0343826121,0.1483010685,0.0269363816,0.1130035999,0.0191708991,0.3583050133,0.0432407162,0.3498265663,0.0498424286,0.3356947567,0.0548915445,0.5444651344,0.0743076207,0.5589738348,0.0797043585,0.5150564697,0.0747722098,"down"
0,0,2,0,0.3644205729,0.0722563797,0.4970540365,0.0770129519,0.4010538737,0.0704247526,0.6310017904,0.0212670123,0.6303100586,0.0232442699,0.616418457,0.022494122,0.2822401636,0.0747957759,0.3397621431,0.0669460602,0.3281032382,0.0447813577,0.3594620474,0.0634561107,0.554616774,0.0716787517,0.4521130745,0.0631033771,"down"
2,0,0,1,0.5806201172,0.0264709587,0.4559375,0.0253454453,0.3076708984,0.0178783102,0.4050292969,0.0644810843,0.2784814453,0.0226345661,0.1817675781,0.0103536445,0.5782491116,0.0359169541,0.4652226171,0.0314343398,0.3009445548,0.0168312597,0.4357559051,0.0981486085,0.3907752404,0.0904497157,0.3132642663,0.0803511019,"up"
2,0,2,1,0.9798251065,0.0004535347,0.9774960605,0.0006241915,0.9804354581,0.0003998702,0.4848937988,0.0197259422,0.5104203658,0.0238658129,0.4485321045,0.0253826379,0.591900548,0.0215456127,0.6624222453,0.0253610617,0.5959382405,0.0287964001,0.4014366114,0.0613071113,0.4101932761,0.0668234861,0.4147474822,0.0659099063,"down"
0,0,0,0,0.6443133394,0.0250824225,0.6667319053,0.0260702472,0.7116204884,0.0265607938,0.3253900197,0.0016273817,0.3314723496,0.0020049652,0.332331886,0.0032040346,0.5974888393,0.0236287606,0.6020979126,0.0302385741,0.6394305019,0.0329913272,0.4437726231,0.0432604021,0.4625211149,0.0448913947,0.5017253861,0.0496583722,"up"
